Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
11	SCMZ	not only do you have the ignominy of getting weighed but these bloody children 's seats first school so you	're sat	on bloody stupid little kids ' seats so you feel even bigger exact- and make you feel your arse is	not_XX only_RR do_VD0 you_PPY have_VHI the_AT ignominy_NN1 of_IO getting_VVG weighed_VVN but_CCB these_DD2 bloody_JJ children_NN2 's_GE seats_NN2 first_MD school_NN1 so_CS you_PPY	're_VBR sat_VVN	on_II bloody_JJ stupid_JJ little_JJ kids_NN2 '_GE seats_NN2 so_CS you_PPY feel_VV0 even_RR bigger_JJR exact-_FU and_CC make_VV0 you_PPY feel_VVI your_APPGE arse_NN1 is_VBZ			Revised	Texts not in Sample release	S0406 S0407 S0408 S0409 S0410	5	2014-05-24	0:31:54	A pub in Blyth	2014 Q2	2014	Friends, wider family circle		T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=10	4177411	4177412
12	SCMZ	put Jeffrey in one of the little well no that would make him squeak would n't it ? so he	was sat	like that well that 's what I thought no I know but the minute got in and I thought he	put_VV0 Jeffrey_NP1 in_II one_MC1 of_IO the_AT little_JJ well_RR no_UH that_DD1 would_VM make_VVI him_PPHO1 squeak_NN1 would_VM n't_XX it_PPH1 ?_YQUE so_RR he_PPHS1	was_VBDZ sat_VVN	like_II that_DD1 well_RR that_DD1 's_VBZ what_DDQ I_PPIS1 thought_VVD no_UH I_PPIS1 know_VV0 but_CCB the_AT minute_NNT1 got_VVD in_RP and_CC I_PPIS1 thought_VVD he_PPHS1			Revised	Texts not in Sample release	S0406 S0407 S0408 S0409 S0410	5	2014-05-24	0:31:54	A pub in Blyth	2014 Q2	2014	Friends, wider family circle		T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=11	4181553	4181554
13	SD6X	were you in a room ? yeah that was so good it was like a Sunday afternoon randomly and I	was sitting	on one of the window-sills which is my favourite place to sit mm Cos there 's er there 's proper	were_VBDR you_PPY in_II a_AT1 room_NN1 ?_YQUE yeah_UH that_DD1 was_VBDZ so_RG good_JJ it_PPH1 was_VBDZ like_II a_AT1 Sunday_NPD1 afternoon_NNT1 randomly_RR and_CC I_PPIS1	was_VBDZ sitting_VVG	on_II one_MC1 of_IO the_AT window-sills_NN2 which_DDQ is_VBZ my_APPGE favourite_JJ place_NN1 to_TO sit_VVI mm_UH Cos_CS there_EX 's_VBZ er_UH there_EX 's_VBZ proper_JJ		Discussing, explaining, inquiring, complaining, requesting, making arrangements, buying/selling	Original	Texts within Sample release	S0058 S0179	2	2012-03-16	1:52:03	Shiraz restaurant, Cambridge	2012 Q1	2012	Close family, partners, very close friends	Food, holidays	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=12	4455993	4455994
14	SFET	an early night well it 's not too bad I had sort of well when we got in there and	was sitting	there I had visions of three in the morning the thing that annoyed me a little bit is it was	an_AT1 early_JJ night_NNT1 well_RR it_PPH1 's_VBZ not_XX too_RG bad_JJ I_PPIS1 had_VHD sort_RR21 of_RR22 well_RR when_CS we_PPIS2 got_VVD in_II there_RL and_CC	was_VBDZ sitting_VVG	there_RL I_PPIS1 had_VHD visions_NN2 of_IO three_MC in_II the_AT morning_NNT1 the_AT thing_NN1 that_CST annoyed_VVD me_PPIO1 a_AT1 little_JJ bit_NN1 is_VBZ it_PPH1 was_VBDZ		Discussing, inquiring, complaining, advising	Original	Texts within Sample release	S0058 S0179	2	2012-03-29	0:22:06	ANON's car	2012 Q1	2012	Close family, partners, very close friends	A&E, injuries	T03	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=13	5209834	5209835
15	SFT2	does mean that like the fridge stinks yeah and it does mean like at half past eleven at night I	'm standing	there like s- just stirring tuna and mayonnaise It is horrible But when you get the s- what ? Have	does_VDZ mean_VVI that_CST like_II the_AT fridge_NN1 stinks_VVZ yeah_UH and_CC it_PPH1 does_VDZ mean_VVI like_II at_II half_DB past_II eleven_MC at_II night_NNT1 I_PPIS1	'm_VBM standing_VVG	there_RL like_RR s-_FU just_RR stirring_JJ tuna_NN and_CC mayonnaise_VV0 It_PPH1 is_VBZ horrible_JJ But_CCB when_CS you_PPY get_VV0 the_AT s-_FU what_DDQ ?_YQUE Have_VH0		Discussing, explaining, inquiring	Original	Texts within Sample release	S0058 S0120	2	2012-03-21	0:11:37	Botanic Gardens, Cambridge	2012 Q1	2012	Friends, wider family circle	Work, the Budget, musicals	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=14	5329837	5329838
16	SFT2	? What ? can of tuna some mayonnaise and some sweetcorn stir it up so at half past eleven I	was standing	oh right Too much tuna mm in a tiny bowl I 'm like argh tuna all over the bench It	?_YQUE What_DDQ ?_YQUE can_VM of_IO tuna_NN some_DD mayonnaise_NN1 and_CC some_DD sweetcorn_NN1 stir_VV0 it_PPH1 up_RP so_RR at_II half_DB past_II eleven_MC I_PPIS1	was_VBDZ standing_VVG	oh_UH right_RR Too_RG much_RR tuna_NN mm_UH in_II a_AT1 tiny_JJ bowl_NN1 I_PPIS1 'm_VBM like_RR argh_VV0 tuna_NN all_RR over_II the_AT bench_NN1 It_PPH1		Discussing, explaining, inquiring	Original	Texts within Sample release	S0058 S0120	2	2012-03-21	0:11:37	Botanic Gardens, Cambridge	2012 Q1	2012	Friends, wider family circle	Work, the Budget, musicals	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=15	5329884	5329885
17	SGAX	you would type so I 'm not doing anything wrong --UNCLEARWORD because I wan na type cos I 'll just	be sitting	here doing nothing if you were doing it yeah but we s- right you really are uh insane holding that	you_PPY would_VM type_VVI so_RR I_PPIS1 'm_VBM not_XX doing_VDG anything_PN1 wrong_JJ --UNCLEARWORD_FU because_CS I_PPIS1 wan_VV0 na_AT1 type_NN1 cos_CS I_PPIS1 'll_VM just_RR	be_VBI sitting_VVG	here_RL doing_VDG nothing_PN1 if_CS you_PPY were_VBDR doing_VDG it_PPH1 yeah_UH but_CCB we_PPIS2 s-_FU right_RR you_PPY really_RR are_VBR uh_UH insane_JJ holding_VVG that_DD1	Matt and Claire talking	Discussing, explaining, anecdote telling	Original	Texts within Sample release	S0037 S0115	2	2012-03-01	1:00:31	ANON and ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends	Violence, TV shows, cartoons, films	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=16	5558072	5558073
18	SHAZ	furniture no I well I wou- I would say well it 's you can tell it 's moved well he	's sitting	there and watching it yeah and you can see it 's moved here it does n't matter do it to	furniture_NN1 no_UH I_PPIS1 well_RR I_PPIS1 wou-_FU I_PPIS1 would_VM say_VVI well_RR it_PPH1 's_VBZ you_PPY can_VM tell_VVI it_PPH1 's_VHZ moved_VVN well_RR he_PPHS1	's_VBZ sitting_VVG	there_RL and_CC watching_VVG it_PPH1 yeah_UH and_CC you_PPY can_VM see_VVI it_PPH1 's_VHZ moved_VVN here_RL it_PPH1 does_VDZ n't_XX matter_VVI do_VD0 it_PPH1 to_II	Parent's telling us about their trip away	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0336 S0337 S0338 S0339	4	2015-01-25	1:21:38	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	 Family, sports, pets, travel, trips	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=17	5760786	5760787
19	SHAZ	was fascinating and in Leeds there are some very very well-dressed people was there ? erm the er where I	was sat	in er Debenhams waiting for --ANONnameM to try things on and we were on the edge of the shoe section	was_VBDZ fascinating_JJ and_CC in_II Leeds_NP1 there_EX are_VBR some_DD very_RG very_RG well-dressed_JJ people_NN was_VBDZ there_EX ?_YQUE erm_UH the_AT er_UH where_RRQ I_PPIS1	was_VBDZ sat_VVN	in_II er_UH Debenhams_NP2 waiting_NN1 for_IF --ANONnameM_NP1 to_TO try_VVI things_NN2 on_RP and_CC we_PPIS2 were_VBDR on_II the_AT edge_NN1 of_IO the_AT shoe_NN1 section_NN1	Parent's telling us about their trip away	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0336 S0337 S0338 S0339	4	2015-01-25	1:21:38	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	 Family, sports, pets, travel, trips	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=18	5764833	5764834
20	SHAZ	because I clicked this and I think that 's when it came out where were you stood ? and I	was sat	her in the rocking chair and I think now I honestly think one day when the sun 's at a	because_CS I_PPIS1 clicked_VVD this_DD1 and_CC I_PPIS1 think_VV0 that_DD1 's_VBZ when_RRQ it_PPH1 came_VVD out_RP where_RRQ were_VBDR you_PPY stood_VVN ?_YQUE and_CC I_PPIS1	was_VBDZ sat_VVN	her_PPHO1 in_II the_AT rocking_JJ chair_NN1 and_CC I_PPIS1 think_VV0 now_RT I_PPIS1 honestly_RR think_VV0 one_MC1 day_NNT1 when_RRQ the_AT sun_NN1 's_VBZ at_II a_AT1	Parent's telling us about their trip away	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0336 S0337 S0338 S0339	4	2015-01-25	1:21:38	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	 Family, sports, pets, travel, trips	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=19	5773231	5773232
21	SHAZ	so we 're okay actually can we just pull this out ? because it might be underneath here because I	was sat	quite close and I have n't looked at all --UNCLEARWORD or could be must er be here somewhere yeah oh	so_RR we_PPIS2 're_VBR okay_JJ actually_RR can_VM we_PPIS2 just_RR pull_VVI this_DD1 out_RP ?_YQUE because_CS it_PPH1 might_VM be_VBI underneath_II here_RL because_CS I_PPIS1	was_VBDZ sat_VVN	quite_RG close_JJ and_CC I_PPIS1 have_VH0 n't_XX looked_VVN at_RR21 all_RR22 --UNCLEARWORD_FU or_CC could_VM be_VBI must_VM er_UH be_VBI here_RL somewhere_RL yeah_UH oh_UH	Parent's telling us about their trip away	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0336 S0337 S0338 S0339	4	2015-01-25	1:21:38	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	 Family, sports, pets, travel, trips	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=20	5773641	5773642
22	SHHU	's just I 've got it 's funny er cos it went off and the three or four children who	were sitting	beside it were facing towards the window like that way and their back was there and all three heads turned	's_VBZ just_RR I_PPIS1 've_VH0 got_VVN it_PPH1 's_VBZ funny_JJ er_UH cos_CS it_PPH1 went_VVD off_RP and_CC the_AT three_MC or_CC four_MC children_NN2 who_PNQS	were_VBDR sitting_VVG	beside_II it_PPH1 were_VBDR facing_VVG towards_II the_AT window_NN1 like_II that_DD1 way_NN1 and_CC their_APPGE back_NN1 was_VBDZ there_RL and_CC all_DB three_MC heads_NN2 turned_VVN	Meeting friend	Discussing, explaining, inquiring, complaining, advising, requesting, anecdote telling, making arrangements, apologising, telling jokes	Revised	Texts within Sample release	S0391 S0392 S0393	3	2015-10-10	0:18:39	Car on way home	2015 Q4	2015	Close family, partners, very close friends	transport, hotels, plants, housing, technology, education, events, retail	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=21	5836664	5836665
23	SJRQ	not putting anything on me I went for it and only one of mine s- was swollen grasses everybody I	was sitting	with in the room oh three and four were swelling up I only had one they said I had one	not_XX putting_VVG anything_PN1 on_II me_PPIO1 I_PPIS1 went_VVD for_IF it_PPH1 and_CC only_RR one_MC1 of_IO mine_PPGE s-_FU was_VBDZ swollen_VVN grasses_NN2 everybody_PN1 I_PPIS1	was_VBDZ sitting_VVG	with_IW in_II the_AT room_NN1 oh_UH three_MC and_CC four_MC were_VBDR swelling_VVG up_RP I_PPIS1 only_RR had_VHN one_PN1 they_PPHS2 said_VVD I_PPIS1 had_VHD one_PN1	Stopping for a coffee after going to the tip	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-31	1:02:33	In a café	2015 Q1	2015	Close family, partners, very close friends	(NOT IN ORDER) food and drink, healthcare, clearing out, moving house, TV, stag/hen parties, social history, interior design, event-management, religion, Thirsk, other people, gardening, technology, auctions	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=22	6303734	6303735
24	SKPX	to watch the men 's hundred metre final ? I do n't know I think it depends on where you	're sat	I think all of the ones had like cheap seats yeah for some of them em but for a lot	to_TO watch_VVI the_AT men_NN2 's_GE hundred_NNO metre_NNU1 final_NN1 ?_YQUE I_PPIS1 do_VD0 n't_XX know_VVI I_PPIS1 think_VV0 it_PPH1 depends_VVZ on_II where_RRQ you_PPY	're_VBR sat_VVN	I_PPIS1 think_VV0 all_DB of_IO the_AT ones_NN2 had_VHD like_RR cheap_JJ seats_NN2 yeah_UH for_IF some_DD of_IO them_PPHO2 em_PPHO2 but_II21 for_II22 a_AT1 lot_NN1	Talking about the football on TV (which was muted), sports sponsorship, football strip designs, McDonalds.	Discussing	Original	Texts within Sample release	S0037 S0115	2	2012-01-01	0:17:06	ANON and ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends	Football, sports sponsorship, football strip designs, McDonalds.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=23	6690699	6690700
25	SKZX	to me when you 've worked a nine-hour shift she 's yeah s- I would admire them more if they	were standing	on two legs doing a nine-hour shift come back to me then and I 'll be impressed then come back	to_II me_PPIO1 when_CS you_PPY 've_VH0 worked_VVN a_AT1 nine-hour_JJ shift_NN1 she_PPHS1 's_VBZ yeah_UH s-_FU I_PPIS1 would_VM admire_VVI them_PPHO2 more_RRR if_CS they_PPHS2	were_VBDR standing_VVG	on_II two_MC legs_NN2 doing_VDG a_AT1 nine-hour_JJ shift_NN1 come_VV0 back_RP to_II me_PPIO1 then_RT and_CC I_PPIS1 'll_VM be_VBI impressed_VVN then_RT come_VV0 back_RP	Meeting friend	Discussing, explaining, Inquiring, requesting, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0391 S0392 S0393	3	2015-10-10	0:20:02	Car on way home	2015 Q4	2015	Close family, partners, very close friends	music, purchases, nature, sleep, places, football, relatives, photograph, TV, arrangements, linguistics, urban planning, sociology.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=24	6765059	6765060
26	SLNB	'm your boss so I 'm gon na talk you through everything nice and slowly and you 're gon na	be sitting	really close to me as well so you can just come up and ask if you 're not sure do	'm_VBM your_APPGE boss_NN1 so_RR I_PPIS1 'm_VBM gon_VVGK na_TO talk_VVI you_PPY through_II everything_PN1 nice_JJ and_CC slowly_RR and_CC you_PPY 're_VBR gon_VVGK na_TO	be_VBI sitting_VVG	really_RR close_JJ to_II me_PPIO1 as_RR21 well_RR22 so_CS you_PPY can_VM just_RR come_VVI up_RP and_CC ask_VVI if_CS you_PPY 're_VBR not_XX sure_JJ do_VD0		Discussing, explaining, inquiring	Original	Texts within Sample release	S0057 S0058 S0179	3	2012-03-25	1:34:00	ANON and ANON's home, Cambridge	2012 Q1	2012	Close family, partners, very close friends		T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oa&batch=25	6956944	6956945
