Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
42	SQPN	asleep anywhere yeah to be fair so could I drift off to sleep my cheek 's gone red where I	'm sitting	has it ? --UNCLEARWORD is a bit hot here actually I 'm feeling a little bit over over warm yea	asleep_JJ anywhere_RL yeah_UH to_TO be_VBI fair_JJ so_RR could_VM I_PPIS1 drift_VV0 off_RP to_TO sleep_VVI my_APPGE cheek_NN1 's_VHZ gone_VVN red_JJ where_CS I_PPIS1	'm_VBM sitting_VVG	has_VHZ it_PPH1 ?_YQUE --UNCLEARWORD_FU is_VBZ a_RR21 bit_RR22 hot_JJ here_RL actually_RR I_PPIS1 'm_VBM feeling_VVG a_AT1 little_JJ bit_NN1 over_II over_II warm_JJ yea_UH	Friends having coffee	Discussing, explaining, inquiring, announcing, anecdote telling	Revised	Texts within Sample release	S0104 S0376 S0377	3	2015-02-24	0:59:21	Speakers' home	2015 Q1	2015	Friends, wider family circle	Family, pets, colleagues, work, house, job-hunting	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=41	8449265	8449266
43	SUVL	it 's quite painful to swallow but it 's nice being here because if I was n't here I 'd	be sat	at home by myself --UNCLEARWORD and --UNCLEARWORD oh okay fifty-two ? yeah okay yeah okay we were getting kind of	it_PPH1 's_VBZ quite_RG painful_JJ to_TO swallow_VVI but_CCB it_PPH1 's_VBZ nice_JJ being_VBG here_RL because_CS if_CS I_PPIS1 was_VBDZ n't_XX here_RL I_PPIS1 'd_VM	be_VBI sat_VVN	at_II home_NN1 by_II myself_PPX1 --UNCLEARWORD_FU and_CC --UNCLEARWORD_FU oh_UH okay_RR fifty-two_MC ?_YQUE yeah_UH okay_RR yeah_UH okay_RR we_PPIS2 were_VBDR getting_VVG kind_NN1 of_IO	Friends gathering for Christmas talking about university and general life. 	Discussing, explaining, inquiring, complaining, advising, telling jokes	Revised	Texts not in Sample release	S0592 S0596 S0597 S0598 S0599	5	2015-12-18	2:00:00	ANON’s house, Surrey	2015 Q4	2015	Friends, wider family circle	University, work, apprenticeships, illness, Christmas, strange presents, friends, family, food, youtube videos, celebrities. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=42	9484357	9484358
44	SUVQ	at that one little glass oh you did n't expect that to happen did you ? what if someone had	been standing	there ? take an eye out nobody was standing there nobody was standing there I know that was amazing --ANONnameM	at_II that_DD1 one_MC1 little_JJ glass_NN1 oh_UH you_PPY did_VDD n't_XX expect_VVI that_DD1 to_TO happen_VVI did_VDD you_PPY ?_YQUE what_DDQ if_CS someone_PN1 had_VHD	been_VBN standing_VVG	there_RL ?_YQUE take_VV0 an_AT1 eye_NN1 out_RP nobody_PN1 was_VBDZ standing_VVG there_RL nobody_PN1 was_VBDZ standing_VVG there_RL I_PPIS1 know_VV0 that_DD1 was_VBDZ amazing_JJ --ANONnameM_NP1	An evening with new and old friends	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0192 S0198 S0235 S0236	4	2014-09-11	8:00:50	In mine and ANON's flat, Sussex	2014 Q3	2014	Friends, wider family circle	New flat, job interviews, drinks, rucksacks, Chichester, alcohol, travel times, accents, master's thesis, cheese, neighbours, smoking, vaping, South Korea, university, family, degree results, menopause, blemishes, recording, proofreading, seasonal produce, supermarkets, utilities, student housing, extended friends & family, home towns, birthdates, corpus linguistics, linguistics, didgeridoo, food, strange meats, religion, happy birthdays, music genres, filthy flatmates, snow & ice festival, quitting smoking, PGCEs, students, corporal punishment, working in public schools, age, the Middle East, media, North Korea, TV celebrities, access courses, student tax, student loans company, recruitment consultancy, benefits, study, Alzheimer's, premonitions, death, near death experiences, dog attacks, hospitals, terrible hangovers, alcoholism, old friends, tattoos, ice bucket challenge, photos, Facebook photos, swearing, opinions of friends, tension around friends, house parties, things from the shop, musical instruments, violins, mortgages, Spanish, Americanisms, American food, TV shows, Rick Mayall, Peep Show quotes, horror, accident anecdotes, porn, YouTube videos, dishwashers, gardens, temperature, movies, cinema, Leonardo DiCaprio, being robbed, the USA, intense journeys, relationships, marriage, TESOL, pensions, healthcare, taxes, racism, colonialism, comparisons with the UK and other countries, accommodation, TEFL jobs, inheritance, insurance, cancer, life expectancy, shopping, fat & sugar, healthy eating, whisky, northern accents, languages, cockney rhyming slang, pets, pronunciation, Ph.D students, time, libraries, queuing, job seeker's allowance, dialect variation, accent & dialect, form completing, being offended, professors, best job titles, losing belongings, ANON's friends, South Park, literal versions, university ranking, names, bags.  	T01	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=43	9545043	9545044
45	SUVQ	asked for it yeah I remember at the school like once we went back after lunch time and er we	were sitting	in art class and like we like --ANONnameF started doing this in our class trying to freak her out she	asked_VVD for_IF it_PPH1 yeah_UH I_PPIS1 remember_VV0 at_II the_AT school_NN1 like_RR once_CS we_PPIS2 went_VVD back_RP after_II lunch_NN1 time_NNT1 and_CC er_UH we_PPIS2	were_VBDR sitting_VVG	in_II art_NN1 class_NN1 and_CC like_RR we_PPIS2 like_VV0 --ANONnameF_NP1 started_VVD doing_VDG this_DD1 in_II our_APPGE class_NN1 trying_VVG to_TO freak_VVI her_PPHO1 out_RP she_PPHS1	An evening with new and old friends	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0192 S0198 S0235 S0236	4	2014-09-11	8:00:50	In mine and ANON's flat, Sussex	2014 Q3	2014	Friends, wider family circle	New flat, job interviews, drinks, rucksacks, Chichester, alcohol, travel times, accents, master's thesis, cheese, neighbours, smoking, vaping, South Korea, university, family, degree results, menopause, blemishes, recording, proofreading, seasonal produce, supermarkets, utilities, student housing, extended friends & family, home towns, birthdates, corpus linguistics, linguistics, didgeridoo, food, strange meats, religion, happy birthdays, music genres, filthy flatmates, snow & ice festival, quitting smoking, PGCEs, students, corporal punishment, working in public schools, age, the Middle East, media, North Korea, TV celebrities, access courses, student tax, student loans company, recruitment consultancy, benefits, study, Alzheimer's, premonitions, death, near death experiences, dog attacks, hospitals, terrible hangovers, alcoholism, old friends, tattoos, ice bucket challenge, photos, Facebook photos, swearing, opinions of friends, tension around friends, house parties, things from the shop, musical instruments, violins, mortgages, Spanish, Americanisms, American food, TV shows, Rick Mayall, Peep Show quotes, horror, accident anecdotes, porn, YouTube videos, dishwashers, gardens, temperature, movies, cinema, Leonardo DiCaprio, being robbed, the USA, intense journeys, relationships, marriage, TESOL, pensions, healthcare, taxes, racism, colonialism, comparisons with the UK and other countries, accommodation, TEFL jobs, inheritance, insurance, cancer, life expectancy, shopping, fat & sugar, healthy eating, whisky, northern accents, languages, cockney rhyming slang, pets, pronunciation, Ph.D students, time, libraries, queuing, job seeker's allowance, dialect variation, accent & dialect, form completing, being offended, professors, best job titles, losing belongings, ANON's friends, South Park, literal versions, university ranking, names, bags.  	T01	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=44	9564055	9564056
46	SUVQ	no idea the first time that we truly experienced that we were in Indonesia and there was this couple that	was sitting	like it 's Philippines old couple Philippines oh was it in the Philippines ? sorry this old couple that was	no_AT idea_NN1 the_AT first_MD time_NNT1 that_CST we_PPIS2 truly_RR experienced_VVD that_CST we_PPIS2 were_VBDR in_II Indonesia_NP1 and_CC there_EX was_VBDZ this_DD1 couple_NN1 that_CST	was_VBDZ sitting_VVG	like_II it_PPH1 's_VBZ Philippines_NP old_JJ couple_NN1 Philippines_NP oh_UH was_VBDZ it_PPH1 in_II the_AT Philippines_NP ?_YQUE sorry_JJ this_DD1 old_JJ couple_NN1 that_CST was_VBDZ	An evening with new and old friends	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0192 S0198 S0235 S0236	4	2014-09-11	8:00:50	In mine and ANON's flat, Sussex	2014 Q3	2014	Friends, wider family circle	New flat, job interviews, drinks, rucksacks, Chichester, alcohol, travel times, accents, master's thesis, cheese, neighbours, smoking, vaping, South Korea, university, family, degree results, menopause, blemishes, recording, proofreading, seasonal produce, supermarkets, utilities, student housing, extended friends & family, home towns, birthdates, corpus linguistics, linguistics, didgeridoo, food, strange meats, religion, happy birthdays, music genres, filthy flatmates, snow & ice festival, quitting smoking, PGCEs, students, corporal punishment, working in public schools, age, the Middle East, media, North Korea, TV celebrities, access courses, student tax, student loans company, recruitment consultancy, benefits, study, Alzheimer's, premonitions, death, near death experiences, dog attacks, hospitals, terrible hangovers, alcoholism, old friends, tattoos, ice bucket challenge, photos, Facebook photos, swearing, opinions of friends, tension around friends, house parties, things from the shop, musical instruments, violins, mortgages, Spanish, Americanisms, American food, TV shows, Rick Mayall, Peep Show quotes, horror, accident anecdotes, porn, YouTube videos, dishwashers, gardens, temperature, movies, cinema, Leonardo DiCaprio, being robbed, the USA, intense journeys, relationships, marriage, TESOL, pensions, healthcare, taxes, racism, colonialism, comparisons with the UK and other countries, accommodation, TEFL jobs, inheritance, insurance, cancer, life expectancy, shopping, fat & sugar, healthy eating, whisky, northern accents, languages, cockney rhyming slang, pets, pronunciation, Ph.D students, time, libraries, queuing, job seeker's allowance, dialect variation, accent & dialect, form completing, being offended, professors, best job titles, losing belongings, ANON's friends, South Park, literal versions, university ranking, names, bags.  	T01	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=45	9614540	9614541
47	SW5B	on a bit now oh I know --ANONnameF --ANONnameF said it was really funny the other day she said she	was sitting	on one of the steps at the bottom of the stairs --UNCLEARWORD and --ANONnameF came down the stairs and she	on_II a_AT1 bit_NN1 now_RT oh_UH I_PPIS1 know_VV0 --ANONnameF_NP1 --ANONnameF_NP1 said_VVD it_PPH1 was_VBDZ really_RR funny_JJ the_AT other_JJ day_NNT1 she_PPHS1 said_VVD she_PPHS1	was_VBDZ sitting_VVG	on_II one_MC1 of_IO the_AT steps_NN2 at_II the_AT bottom_NN1 of_IO the_AT stairs_NN2 --UNCLEARWORD_FU and_CC --ANONnameF_NP1 came_VVD down_II the_AT stairs_NN2 and_CC she_PPHS1	Having coffee with friends before work	Discussing, explaining, complaining, anecdote telling	Revised	Texts within Sample release	S0104 S0167 S0374 S0376	4	2015-02-19	1:01:19	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Pets, health, studies, family, technology, friends, famous people, work, domestic chores	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=46	10263120	10263121
48	SW5B	by the way halfway through our conversation I did n't notice but --ANONnameF was laughing for about ten seconds --ANONnameF	was sitting	on the phone yeah oh for god 's sake he 's so annoying I wonder what that sounds like I	by_II the_AT way_NN1 halfway_RR through_II our_APPGE conversation_NN1 I_PPIS1 did_VDD n't_XX notice_VVI but_CCB --ANONnameF_NP1 was_VBDZ laughing_VVG for_IF about_RG ten_MC seconds_NNT2 --ANONnameF_NP1	was_VBDZ sitting_VVG	on_II the_AT phone_NN1 yeah_UH oh_UH for_IF god_NN1 's_GE sake_NN1 he_PPHS1 's_VBZ so_RG annoying_JJ I_PPIS1 wonder_VV0 what_DDQ that_DD1 sounds_VVZ like_II I_PPIS1	Having coffee with friends before work	Discussing, explaining, complaining, anecdote telling	Revised	Texts within Sample release	S0104 S0167 S0374 S0376	4	2015-02-19	1:01:19	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Pets, health, studies, family, technology, friends, famous people, work, domestic chores	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=47	10270056	10270057
49	SW5B	yeah oh for god 's sake he 's so annoying I wonder what that sounds like I wondered why --ANONnameF	was sitting	there laughing at her head off I wonder what that sounds like do you think it 's all muffled ?	yeah_UH oh_UH for_IF god_NN1 's_GE sake_NN1 he_PPHS1 's_VBZ so_RG annoying_JJ I_PPIS1 wonder_VV0 what_DDQ that_DD1 sounds_VVZ like_II I_PPIS1 wondered_VVD why_RRQ --ANONnameF_NP1	was_VBDZ sitting_VVG	there_RL laughing_VVG at_II her_APPGE head_NN1 off_RP I_PPIS1 wonder_VV0 what_DDQ that_DD1 sounds_VVZ like_II do_VD0 you_PPY think_VVI it_PPH1 's_VBZ all_DB muffled_VVN ?_YQUE	Having coffee with friends before work	Discussing, explaining, complaining, anecdote telling	Revised	Texts within Sample release	S0104 S0167 S0374 S0376	4	2015-02-19	1:01:19	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Pets, health, studies, family, technology, friends, famous people, work, domestic chores	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=48	10270081	10270082
50	SZRJ	I do n't know it was only oh probably about ten seconds before --ANONnameF said ere look at him he	's sitting	on the conversation stupid cat so are we gon na go to --ANONplace today then ? yeah wrap up girls	I_PPIS1 do_VD0 n't_XX know_VVI it_PPH1 was_VBDZ only_RR oh_UH probably_RR about_RG ten_MC seconds_NNT2 before_II --ANONnameF_NP1 said_VVD ere_RL look_VV0 at_II him_PPHO1 he_PPHS1	's_VBZ sitting_VVG	on_II the_AT conversation_NN1 stupid_JJ cat_NN1 so_RR are_VBR we_PPIS2 gon_VVGK na_TO go_VVI to_II --ANONplace_NP1 today_RT then_RT ?_YQUE yeah_UH wrap_VV0 up_RP girls_NN2	Conversation over breakfast	Discussing, explaining, anecdote telling, making arrangements	Revised	Texts within Sample release	S0104 S0167 S0373 S0379	4	2015-03-21	0:28:26	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Current affairs, day plans, domestic chores, house and garden, pets, family	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=49	11375213	11375214
51	SZRJ	will go in the money that 's a good idea no but it 's full of twenty Ps and --ANONnameM	is sitting	there at the moment going through it and we need to swapping all the twenty Ps cos he 's collecting	will_VM go_VVI in_II the_AT money_NN1 that_DD1 's_VBZ a_AT1 good_JJ idea_NN1 no_UH but_CCB it_PPH1 's_VBZ full_JJ of_IO twenty_MC Ps_NP1 and_CC --ANONnameM_NP1	is_VBZ sitting_VVG	there_RL at_II the_AT moment_NN1 going_VVG through_II it_PPH1 and_CC we_PPIS2 need_VV0 to_TO swapping_VVG all_DB the_AT twenty_MC Ps_NP1 cos_CS he_PPHS1 's_VBZ collecting_VVG	Conversation over breakfast	Discussing, explaining, anecdote telling, making arrangements	Revised	Texts within Sample release	S0104 S0167 S0373 S0379	4	2015-03-21	0:28:26	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Current affairs, day plans, domestic chores, house and garden, pets, family	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o4&batch=50	11380077	11380078
