Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
19	S539	boss always has he 's always got is Ipad and his phone when he 's in meetings and you could	be sitting	even in a one on one or like mm wi- with the three of us here now and he 's	boss_NN1 always_RR has_VHZ he_PPHS1 's_VHZ always_RR got_VVN is_VBZ Ipad_NP1 and_CC his_APPGE phone_NN1 when_CS he_PPHS1 's_VBZ in_II meetings_NN2 and_CC you_PPY could_VM	be_VBI sitting_VVG	even_RR in_II a_AT1 one_MC1 on_II one_MC1 or_CC like_RR mm_UH wi-_FU with_IW the_AT three_MC of_IO us_PPIO2 here_RL now_RT and_CC he_PPHS1 's_VBZ	Talking at Book Club	Discussing, explaining, inquiring, anecdote telling	Revised	Texts not in Sample release	S0255 S0257 S0258	3	2014-09-11	0:30:57	Speaker's house	2014 Q3	2014	Close family, partners, very close friends	Languages, GCSE course choices, mobile phones, fond memories of Dads/Granddads, books/films/TV.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=18	1222386	1222387
20	S59W	you ought to have seen the great big wiggly wormy thing that they they had yo- on there today she	was sitting	there with this big old worm in her fe- in her hand oh that 's a grey tit that one	you_PPY ought_VMK to_TO have_VHI seen_VVN the_AT great_JJ big_JJ wiggly_RR wormy_JJ thing_NN1 that_CST they_PPHS2 they_PPHS2 had_VHD yo-_FU on_II there_RL today_RT she_PPHS1	was_VBDZ sitting_VVG	there_RL with_IW this_DD1 big_JJ old_JJ worm_NN1 in_II her_APPGE fe-_FU in_II her_APPGE hand_NN1 oh_UH that_DD1 's_VBZ a_AT1 grey_JJ tit_NN1 that_DD1 one_PN1	Just come round!	Discussing, Explaining, Complaining, Making arrangements	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-13	0:59:11	Freelancer's home	2015 Q2	2015	Close family, partners, very close friends	Football, application form, problem children, baby birds in nest, cockerel, birthdays, 3D printing, houses, shabby workmanship, not sleeping	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=19	1311579	1311580
21	S5PW	something a little bit over powering you know mm yeah because our room is n't very big no so you	're sitting	fairly close and trying to get near the fire as well mm yeah I 've been having to sit further	something_PN1 a_AT1 little_JJ bit_NN1 over_II powering_VVG you_PPY know_VV0 mm_UH yeah_UH because_CS our_APPGE room_NN1 is_VBZ n't_XX very_RG big_JJ no_UH so_RR you_PPY	're_VBR sitting_VVG	fairly_RR close_JJ and_CC trying_VVG to_TO get_VVI near_II the_AT fire_NN1 as_RR21 well_RR22 mm_UH yeah_UH I_PPIS1 've_VH0 been_VBN having_VHG to_TO sit_VVI further_RRR	ANON's visit	Discussing, complaining, anecdote telling	Original	Texts within Sample release	S0008 S0012 S0013 S0024	4	2012-04-12	1:32:19	ANON's home, Norfolk	2012 Q2	2012	Friends, wider family circle	Wildlife, history, computer software, cars	T03	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=20	1434425	1434426
22	S5XD	just you 're just out of touch I am out of touch do you know what ? --ANONnameM and I	were sat	this is how bad it is and obviously it was really bad where we were but we just went for	just_RR you_PPY 're_VBR just_RR out_II21 of_II22 touch_NN1 I_PPIS1 am_VBM out_II21 of_II22 touch_NN1 do_VD0 you_PPY know_VVI what_DDQ ?_YQUE --ANONnameM_NP1 and_CC I_PPIS1	were_VBDR sat_VVN	this_DD1 is_VBZ how_RGQ bad_JJ it_PPH1 is_VBZ and_CC obviously_RR it_PPH1 was_VBDZ really_RR bad_JJ where_CS we_PPIS2 were_VBDR but_CCB we_PPIS2 just_RR went_VVD for_IF	Seeing my cousins for the first time in 2 years	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, anecdote telling, making arrangements, apologizing, telling jokes	Revised	Texts not in Sample release	S0192 S0194 S0196	3	2014-08-25	2:30:32	In mother's house, Bedford	2014 Q3	2014	Close family, partners, very close friends	Facebook, the ice bucket challenge, family, charities, food, extended family, children, adoption, friends, qualifications, university, travel, senescence, exercise, dialect, relationships, proposals, filling in forms, memories, diet, childbirth, school, parenting, health, half brother    	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=21	1548200	1548201
23	S5XD	know I mean and --ANONnameM said to me he goes --UNCLEARWORD never liked school yeah because I literally should 've	been sitting	my GCSEs and I was out already trying to learn how to do plumbing school is one mould and we	know_VV0 I_PPIS1 mean_VV0 and_CC --ANONnameM_NP1 said_VVD to_II me_PPIO1 he_PPHS1 goes_VVZ --UNCLEARWORD_FU never_RR liked_VVN school_NN1 yeah_UH because_CS I_PPIS1 literally_RR should_VM 've_VHI	been_VBN sitting_VVG	my_APPGE GCSEs_NN2 and_CC I_PPIS1 was_VBDZ out_RP already_RR trying_VVG to_TO learn_VVI how_RRQ to_TO do_VDI plumbing_NN1 school_NN1 is_VBZ one_MC1 mould_NN1 and_CC we_PPIS2	Seeing my cousins for the first time in 2 years	Discussing, explaining, inquiring, complaining, advising, requesting, inviting, anecdote telling, making arrangements, apologizing, telling jokes	Revised	Texts not in Sample release	S0192 S0194 S0196	3	2014-08-25	2:30:32	In mother's house, Bedford	2014 Q3	2014	Close family, partners, very close friends	Facebook, the ice bucket challenge, family, charities, food, extended family, children, adoption, friends, qualifications, university, travel, senescence, exercise, dialect, relationships, proposals, filling in forms, memories, diet, childbirth, school, parenting, health, half brother    	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=22	1552590	1552591
24	S64H	cushion cover I said and it might not sound brilliant I said but if you 've made it and you	're sitting	there all wrapped up in it all cuddled up in it and snuggly yeah yeah you can feel so proud	cushion_NN1 cover_NN1 I_PPIS1 said_VVD and_CC it_PPH1 might_VM not_XX sound_VVI brilliant_JJ I_PPIS1 said_VVD but_CCB if_CS you_PPY 've_VH0 made_VVN it_PPH1 and_CC you_PPY	're_VBR sitting_VVG	there_RL all_DB wrapped_VVN up_RP in_II it_PPH1 all_DB cuddled_VVN up_RP in_II it_PPH1 and_CC snuggly_RR yeah_UH yeah_UH you_PPY can_VM feel_VVI so_RG proud_JJ	Meal with a friend	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0255 S0257 S0260	3	2014-09-29	2:33:21	Speaker's house	2014 Q3	2014	Close family, partners, very close friends	Food, words, family, childhood toys and games we played, knitting/crocheting, TV, books, eBooks, ‘it’s a small world’.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=23	1671406	1671407
25	S6AK	do n't they ? yeah yeah she 's sat up the corner she says I thought that was --ANONnameF who	's sitting	at the airport waiting no --ANONnameF is another well she 's ever further away ai n't she from ? no	do_VD0 n't_XX they_PPHS2 ?_YQUE yeah_UH yeah_UH she_PPHS1 's_VHZ sat_VVN up_RP the_AT corner_NN1 she_PPHS1 says_VVZ I_PPIS1 thought_VVD that_DD1 was_VBDZ --ANONnameF_NP1 who_PNQS	's_VBZ sitting_VVG	at_II the_AT airport_NN1 waiting_VVG no_AT --ANONnameF_NP1 is_VBZ another_DD1 well_RR she_PPHS1 's_VBZ ever_RR further_RRR away_RL ai_FU n't_XX she_PPHS1 from_II ?_YQUE no_UH	Having a cup of tea	Discussing, explaining	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-03-14	1:34:37	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	 Talking on Skype, globes, holidays, Yorkshire, youth hostels, school projects, underground system, gardens, relationships, television, bad leg	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=24	1773436	1773437
26	S6AK	and in rush hour people literally fight to get on because there 's just not enough room and then they	're standing	there like that once they 're in yeah yeah yeah god mm it 's quite good fun when you 're	and_CC in_II rush_NN1 hour_NNT1 people_NN literally_RR fight_VV0 to_TO get_VVI on_RP because_CS there_EX 's_VBZ just_RR not_XX enough_DD room_NN1 and_CC then_RT they_PPHS2	're_VBR standing_VVG	there_RL like_II that_DD1 once_CS they_PPHS2 're_VBR in_II yeah_UH yeah_UH yeah_UH god_NN1 mm_UH it_PPH1 's_VBZ quite_RG good_JJ fun_NN1 when_CS you_PPY 're_VBR	Having a cup of tea	Discussing, explaining	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-03-14	1:34:37	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	 Talking on Skype, globes, holidays, Yorkshire, youth hostels, school projects, underground system, gardens, relationships, television, bad leg	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=25	1778727	1778728
27	S6YA	me last time I mean she was massive she says you have to go on this diet and there she	is sitting	there blubber all over the place well it 's like when I went for mine down there were n't it	me_PPIO1 last_MD time_NNT1 I_PPIS1 mean_VV0 she_PPHS1 was_VBDZ massive_JJ she_PPHS1 says_VVZ you_PPY have_VH0 to_TO go_VVI on_II this_DD1 diet_NN1 and_CC there_RL she_PPHS1	is_VBZ sitting_VVG	there_RL blubber_NN1 all_RR over_II the_AT place_NN1 well_RR it_PPH1 's_VBZ like_RR when_CS I_PPIS1 went_VVD for_IF mine_PPGE down_RP there_RL were_VBDR n't_XX it_PPH1	Talking about allsorts	Discussing, explaining, buying/selling	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-12	1:37:16	Speakers' home	2015 Q2	2015	Close family, partners, very close friends	trip to London, horses, school, Youth hostel in Cornwall, selling houses, cars, TV, travelling, buying houses, election, eBay, football, health, money	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=26	2059517	2059518
28	S7RA	n't I know it does but I mean you have to have a little bit of patience and if you	're sitting	down there for ages mm well I got one potential customer already cos --ANONnameM --ANONnameM erm a lady phoned me	n't_XX I_PPIS1 know_VV0 it_PPH1 does_VDZ but_CCB I_PPIS1 mean_VV0 you_PPY have_VH0 to_TO have_VHI a_AT1 little_JJ bit_NN1 of_IO patience_NN1 and_CC if_CS you_PPY	're_VBR sitting_VVG	down_RP there_RL for_IF ages_NN2 mm_UH well_RR I_PPIS1 got_VVD one_MC1 potential_JJ customer_NN1 already_RR cos_CS --ANONnameM_NP1 --ANONnameM_NP1 erm_UH a_AT1 lady_NN1 phoned_VVD me_PPIO1	Came for a cup of tea	Discussing, explaining, inquiring, requesting, making arrangements	Revised	Texts not in Sample release	S0012 S0013 S0278	3	2015-03-31	0:58:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Church, designing signs, arts festival, fund raising, banking and money, dog in car, asking for lift, bell ringing, fencing, televisions, ariel falling down	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062oj&batch=27	2469461	2469462
